Week,Tarik,Hana,Both
0,904.68,218.71999999999997,0
1,1491.2200000000005,718.1400000000002,0
2,168.03000000000003,518.64,0
3,560.25,458.41,0
4,341.97,961.2800000000001,0
5,1205.6599999999996,783.55,0
6,879.08,267.86,0
7,270.45,324.29,368.29999999999995
8,309.7,600.35,236.88
9,0,681.0099999999999,175.71
10,0,759.8100000000001,106.93
11,159.55,114.50999999999999,228.2
12,0,745.74,272.76
13,0,647.0,0
14,346.01,495.22,65.05
15,309.17999999999995,426.73,0
16,33.04,105.07000000000001,155.5
17,529.94,518.17,123.16
18,15.35,1037.74,0
19,15.18,827.96,132.76000000000002
20,0,826.51,128.56
21,0,236.34,125.76
22,0,285.6,43.38
23,261.57,272.09000000000003,0
24,74.45,234.44000000000003,105.40999999999998
25,138.79999999999998,218.41000000000003,190.02000000000004
26,371.29,282.05,0
27,505.32000000000005,512.1099999999999,143.85
28,294.91,112.44,31.82
29,579.9699999999999,355.53999999999996,54.64
30,393.47999999999996,441.06999999999994,88.48
31,443.29999999999995,637.6999999999999,0
32,89.53,600.5100000000001,0
33,224.45999999999998,591.92,0
34,11.73,607.4100000000001,0
35,0,936.1999999999998,52.0
36,187.32,1285.9500000000003,35.13
37,193.85,706.9,127.77000000000001
38,0,525.4000000000001,312.47
39,0,741.9300000000001,169.79999999999998
40,0,505.47999999999996,170.69
41,312.51,347.82,51.32
42,295.88,878.6800000000002,246.97
43,122.69,137.22,0
44,179.76,827.5899999999998,123.85
45,0,390.15,194.07999999999998
46,54.82,374.82000000000005,0
47,0,752.8899999999999,53.800000000000004
48,0,748.22,0
49,128.71999999999997,191.79999999999998,241.23
50,0,590.9800000000001,9.98
51,237.28,611.94,76.55
52,26.23,372.45,139.6
53,0,83.53999999999999,0
54,0,0,0
55,0,0,0
56,0,63.480000000000004,110.85
57,0,118.69,82.39
58,61.45,253.73000000000002,133.66
59,304.68999999999994,96.53,146.01999999999998
60,321.46000000000004,415.5200000000001,95.65999999999998
61,136.25,85.52000000000001,229.53
62,124.33999999999999,134.15,325.19000000000005
63,134.85,87.1,326.37
64,0,458.88,227.35000000000002
65,0,602.6800000000001,125.78
66,0,628.4999999999999,0
67,46.82,168.03,0
68,272.84999999999997,19.0,437.09000000000003
69,127.48,85.56,0
70,482.49,584.86,79.02
71,942.6500000000001,511.8700000000001,0
72,151.79999999999998,297.2,0
73,254.61,306.49,112.73
74,387.8,719.1900000000003,21.82
75,167.5,577.17,0
76,0,543.4599999999999,42.41
77,0,491.7,0
78,0,372.96999999999997,42.68
79,0,477.5000000000001,0
80,0,612.12,42.35
81,0,139.9,35.150000000000006
82,0,435.71000000000004,49.14
83,0,432.01,84.12
84,9.13,365.33,0
